,Unnamed: 0,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,0,01/22/20,0,0,0,0,0,0,0
1,1,01/23/20,0,0,0,0,0,0,0
2,2,01/24/20,0,0,0,0,0,0,0
3,3,01/25/20,0,0,0,0,0,0,0
4,4,01/26/20,4,0,0,4,0,0,0
5,5,01/27/20,5,0,0,1,0,0,0
6,6,01/28/20,5,0,0,0,0,0,0
7,7,01/29/20,6,0,0,1,0,0,0
8,8,01/30/20,9,0,2,3,0,2,2
9,9,01/31/20,9,0,2,0,0,0,0
10,10,02/01/20,12,0,2,3,0,0,0
11,11,02/02/20,12,0,2,0,0,0,0
12,12,02/03/20,12,0,2,0,0,0,0
13,13,02/04/20,13,0,2,1,0,0,0
14,14,02/05/20,13,0,2,0,0,0,0
15,15,02/06/20,14,0,2,1,0,0,0
16,16,02/07/20,15,0,2,1,0,0,0
17,17,02/08/20,15,0,2,0,0,0,0
18,18,02/09/20,15,0,2,0,0,0,0
19,19,02/10/20,15,0,2,0,0,0,0
20,20,02/11/20,15,0,2,0,0,0,0
21,21,02/12/20,15,0,2,0,0,0,0
22,22,02/13/20,15,0,8,0,0,6,6
23,23,02/14/20,15,0,8,0,0,0,0
24,24,02/15/20,15,0,8,0,0,0,0
25,25,02/16/20,15,0,8,0,0,0,0
26,26,02/17/20,15,0,10,0,0,2,2
27,27,02/18/20,15,0,10,0,0,0,0
28,28,02/19/20,15,0,10,0,0,0,0
29,29,02/20/20,15,0,10,0,0,0,0
30,30,02/21/20,15,0,11,0,0,1,1
31,31,02/22/20,15,0,11,0,0,0,0
32,32,02/23/20,15,0,11,0,0,0,0
33,33,02/24/20,15,0,11,0,0,0,0
34,34,02/25/20,15,0,11,0,0,0,0
35,35,02/26/20,15,0,11,0,0,0,0
36,36,02/27/20,15,0,11,0,0,0,0
37,37,02/28/20,15,0,11,0,0,0,0
38,38,02/29/20,25,0,11,10,0,0,0
39,39,03/01/20,27,1,11,2,1,0,1
40,40,03/02/20,30,1,11,3,0,0,0
41,41,03/03/20,39,1,11,9,0,0,0
42,42,03/04/20,52,2,11,13,1,0,1
43,43,03/05/20,55,2,21,3,0,10,10
44,44,03/06/20,60,2,21,5,0,0,0
45,45,03/07/20,63,2,21,3,0,0,0
46,46,03/08/20,76,3,21,13,1,0,1
47,47,03/09/20,91,3,21,15,0,0,0
48,48,03/10/20,107,3,21,16,0,0,0
49,49,03/11/20,128,3,21,21,0,0,0
50,50,03/12/20,128,3,21,0,0,0,0
51,51,03/13/20,200,3,23,72,0,2,2
52,52,03/14/20,250,3,23,50,0,0,0
53,53,03/15/20,297,3,23,47,0,0,0
54,54,03/16/20,377,3,23,80,0,0,0
55,55,03/17/20,452,5,23,75,2,0,2
56,56,03/18/20,568,6,23,116,1,0,1
57,57,03/19/20,681,6,26,113,0,3,3
58,58,03/20/20,791,7,26,110,1,0,1
59,59,03/21/20,1071,7,26,280,0,0,0
60,60,03/22/20,1549,7,88,478,0,62,62
61,61,03/23/20,1682,7,88,133,0,0,0
62,62,03/24/20,2044,8,115,362,1,27,28
63,63,03/25/20,2364,8,119,320,0,4,4
64,64,03/26/20,2810,13,172,446,5,53,58
65,65,03/27/20,3143,13,194,333,0,22,22
66,66,03/28/20,3640,14,244,497,1,50,51
67,67,03/29/20,3984,16,244,344,2,0,2
68,68,03/30/20,4361,17,257,377,1,13,14
69,69,03/31/20,4559,18,358,198,1,101,102
70,70,04/01/20,4862,20,422,303,2,64,66
71,71,04/02/20,5116,24,520,254,4,98,102
72,72,04/03/20,5330,28,649,214,4,129,133
73,73,04/04/20,5550,30,701,220,2,52,54
74,74,04/05/20,5687,35,757,137,5,56,61
75,75,04/06/20,5797,40,1080,110,5,323,328
76,76,04/07/20,5895,45,1080,98,5,0,5
77,77,04/08/20,6010,50,1080,115,5,0,5
78,78,04/09/20,6108,51,1472,98,1,392,393
79,79,04/10/20,6215,54,1793,107,3,321,324
80,80,04/11/20,6303,57,1806,88,3,13,16
81,81,04/12/20,6315,60,1806,12,3,0,3
82,82,04/13/20,6351,61,1806,36,1,0,1
83,83,04/14/20,6415,62,2186,64,1,380,381
84,84,04/15/20,6440,63,2186,25,1,0,1
